Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,"$18,606,562,979.28 ","$19,682,883,151.62 ","$19,922,563,190.00 ","$21,539,843,448.96 ","$23,801,123,811.04 ","$25,976,164,159.30 ","$27,307,844,372.53 ","$30,442,724,874.49 ","$32,714,085,238.18 ","$36,683,365,873.74 ","$41,333,606,618.34 ","$45,216,647,240.09 ","$52,042,056,074.77 ","$63,832,158,872.52 ","$88,963,890,935.89 ","$97,304,383,449.41 ","$105,060,650,224.27 ","$110,350,997,935.31 ","$118,491,577,918.81 ","$134,898,330,114.73 ","$149,984,401,114.21 ","$176,891,907,581.56 ","$194,037,294,494.10 ","$177,263,464,407.83 ","$193,517,245,510.16 ","$180,634,851,530.18 ","$182,472,020,145.50 ","$189,487,824,245.63 ","$236,152,526,238.56 ","$299,875,825,286.86 ","$311,430,632,641.09 ","$325,981,640,935.42 ","$325,532,426,233.23 ","$312,138,139,404.16 ","$322,809,408,509.17 ","$368,140,778,140.78 ","$401,310,823,652.74 ","$435,613,768,959.97 ","$399,660,855,999.46 ","$389,389,647,825.54 ","$415,844,972,940.50 ","$379,357,823,192.53 ","$395,573,025,330.45 ","$467,497,961,560.86 ","$614,326,362,213.69 ","$695,305,000,206.73 ","$747,907,432,136.60 ","$854,427,259,166.21 ","$1,055,686,110,665.53 ","$928,629,769,751.88 ","$1,148,569,537,284.62 ","$1,398,456,161,407.85 ","$1,546,952,690,139.99 ","$1,576,329,690,003.93 ","$1,467,589,901,175.46 ","$1,350,580,336,316.75 ","$1,206,562,910,556.58 ","$1,326,467,487,376.42 ","$1,428,266,513,154.48 ","$1,392,218,527,563.26 ","$1,326,944,627,876.87 ","$1,552,703,151,616.01 ","$1,675,418,665,067.09 "
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,"$6,592,693,841.18 ","$7,311,749,633.36 ","$7,756,110,210.12 ","$8,374,175,257.73 ","$9,169,983,885.71 ","$9,994,070,615.86 ","$10,887,682,273.10 ","$11,579,431,668.92 ","$12,440,625,312.87 ","$13,582,798,556.24 ","$15,373,005,557.03 ","$17,858,486,066.75 ","$22,059,612,476.93 ","$29,515,467,706.80 ","$35,189,299,911.66 ","$40,059,206,763.06 ","$42,959,976,221.52 ","$51,545,758,887.69 ","$62,052,259,073.25 ","$73,937,296,963.46 ","$82,058,912,997.23 ","$71,034,228,443.06 ","$71,275,287,569.57 ","$72,121,016,546.65 ","$67,985,344,886.87 ","$69,386,774,408.09 ","$99,036,164,939.16 ","$124,168,442,533.74 ","$133,339,397,080.13 ","$133,105,805,512.22 ","$166,463,386,179.35 ","$173,794,177,961.11 ","$195,078,126,721.76 ","$190,379,720,809.18 ","$203,535,242,741.84 ","$241,038,283,062.65 ","$237,250,948,791.27 ","$212,790,348,404.56 ","$218,259,904,401.96 ","$217,259,147,049.95 ","$197,289,625,479.91 ","$197,508,773,215.32 ","$214,394,866,675.24 ","$262,273,631,180.05 ","$301,457,562,038.54 ","$316,092,273,276.02 ","$336,280,064,332.41 ","$389,185,571,506.05 ","$432,051,935,642.95 ","$401,758,735,822.21 ","$392,275,107,258.68 ","$431,685,217,367.51 ","$409,401,816,050.53 ","$430,190,979,705.97 ","$442,584,815,286.03 ","$381,971,148,530.54 ","$395,837,353,031.51 ","$417,261,151,844.98 ","$454,991,174,096.09 ","$444,621,176,100.54 ","$435,225,238,000.43 ","$480,368,403,893.36 ","$471,400,066,091.25 "
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,858,006,042.30 ","$5,344,000,000.00 ","$444,658,671.59 ","$1,570,392,598.15 ","$1,193,141,110.35 ","$2,417,332,562.22 ","$3,176,507,991.74 ","$3,962,362,387.48 ","$4,446,370,371.15 ","$4,581,246,713.32 ","$5,272,617,196.05 ","$5,707,618,246.57 ","$6,236,086,669.18 ","$7,276,413,079.11 ","$8,680,410,157.57 ","$13,245,421,880.83 ","$20,981,929,497.62 ","$33,049,426,816.44 ","$48,851,318,825.72 ","$44,292,408,816.64 ","$52,909,294,791.93 ","$65,952,763,948.84 ","$69,679,913,509.91 ","$74,160,553,008.73 ","$75,239,737,488.80 ","$53,076,244,754.50 ","$37,867,007,022.78 ","$40,866,632,047.84 ","$47,112,479,289.42 ","$48,174,235,294.12 ","$42,693,000,000.00 ","$54,825,411,764.71 ","$78,721,058,823.53 "
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,"$195,999,989.81 ","$202,999,991.80 ","$213,500,005.79 ","$232,749,997.77 ","$260,750,007.74 ","$158,994,962.81 ","$165,444,571.26 ","$178,297,142.68 ","$183,199,999.82 ","$190,205,714.10 ","$242,732,571.19 ","$252,842,285.48 ","$246,804,571.43 ","$304,339,839.55 ","$345,263,492.06 ","$420,986,666.67 ","$448,412,753.62 ","$547,535,555.56 ","$610,225,555.56 ","$782,496,666.67 ","$919,726,666.67 ","$969,046,666.67 ","$1,013,222,222.22 ","$1,082,926,304.46 ","$987,143,931.17 ","$1,149,979,285.77 ","$1,201,725,497.07 ","$1,131,466,494.01 ","$1,082,403,219.49 ","$1,113,924,130.41 ","$1,132,101,252.52 ","$1,167,398,478.35 ","$1,083,037,670.60 ","$938,632,612.03 ","$925,030,590.15 ","$1,000,428,393.89 ","$869,033,856.32 ","$972,896,267.92 ","$893,770,739.54 ","$808,077,223.37 ","$870,486,065.88 ","$876,794,723.07 ","$825,394,519.72 ","$784,654,423.62 ","$915,257,323.40 ","$1,117,113,080.08 ","$1,273,375,078.45 ","$1,356,199,386.80 ","$1,611,835,856.59 ","$1,781,455,140.34 ","$2,032,135,191.46 ","$2,235,820,808.73 ","$2,333,341,334.46 ","$2,451,606,631.77 ","$2,705,783,330.39 ","$3,104,003,545.61 ","$2,644,487,777.24 ","$2,723,586,962.19 ","$2,667,182,198.98 ","$2,576,518,879.40 ","$2,649,680,261.01 ","$2,775,798,697.16 ","$3,073,414,677.84 "
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,"$11,658,722,590.99 ","$12,400,145,221.60 ","$13,264,015,675.32 ","$14,260,017,387.05 ","$15,960,106,680.67 ","$17,371,457,607.94 ","$18,651,883,472.48 ","$19,992,040,788.46 ","$21,376,353,113.48 ","$23,710,735,894.70 ","$26,706,196,046.79 ","$29,821,661,869.91 ","$37,209,418,018.51 ","$47,743,801,490.37 ","$56,033,077,879.04 ","$65,678,189,097.29 ","$71,113,882,967.61 ","$82,839,905,458.64 ","$101,246,526,194.44 ","$116,315,456,796.92 ","$126,829,314,388.19 ","$104,730,018,470.23 ","$92,095,926,187.53 ","$87,184,239,053.25 ","$83,349,530,159.17 ","$86,268,264,148.38 ","$120,018,787,249.41 ","$149,394,404,105.89 ","$162,299,103,675.26 ","$164,221,056,511.06 ","$205,331,747,947.85 ","$210,510,999,409.33 ","$234,781,652,446.68 ","$224,721,795,708.96 ","$244,884,129,491.20 ","$288,025,588,396.28 ","$279,201,433,224.76 ","$252,708,051,420.84 ","$258,528,339,631.03 ","$258,245,733,221.47 ","$236,792,460,312.47 ","$236,746,141,604.37 ","$258,383,599,375.18 ","$318,082,528,506.59 ","$369,214,712,443.21 ","$385,714,762,230.04 ","$408,259,840,868.82 ","$470,922,156,309.45 ","$517,328,087,920.08 ","$483,254,171,097.81 ","$481,420,882,905.01 ","$523,330,354,138.14 ","$496,152,879,924.73 ","$521,791,015,247.06 ","$535,390,200,131.01 ","$462,335,574,841.48 ","$476,062,757,356.94 ","$502,764,720,556.36 ","$543,299,066,998.89 ","$535,865,692,402.34 ","$525,213,067,068.32 ","$594,351,961,634.49 ","$578,604,103,123.35 "
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,"$226,195,578.07 ","$235,668,220.87 ","$236,434,954.34 ","$253,927,697.57 ","$269,819,005.79 ","$289,908,680.18 ","$302,925,235.70 ","$306,221,953.36 ","$326,323,105.59 ","$330,748,244.09 ","$333,627,713.46 ","$335,073,027.92 ","$410,331,856.24 ","$504,376,074.07 ","$554,654,861.54 ","$676,870,139.26 ","$698,408,261.14 ","$750,049,780.16 ","$928,843,468.47 ","$1,186,231,018.36 ","$1,405,251,843.78 ","$1,291,120,190.57 ","$1,267,778,671.52 ","$1,095,348,199.37 ","$1,051,134,009.30 ","$1,045,712,789.82 ","$1,336,102,027.00 ","$1,562,412,225.81 ","$1,620,246,084.78 ","$1,502,294,413.87 ","$1,959,965,330.48 ","$1,986,437,797.88 ","$1,695,315,305.70 ","$2,274,558,078.74 ","$1,598,075,944.86 ","$2,169,627,138.35 ","$2,361,116,448.14 ","$2,268,301,645.09 ","$2,455,092,688.15 ","$3,677,393,996.84 ","$3,519,991,440.32 ","$3,666,222,633.84 ","$4,194,342,689.26 ","$5,349,258,092.89 ","$6,190,270,377.08 ","$6,567,654,958.75 ","$7,034,111,316.30 ","$8,169,048,374.71 ","$9,787,734,516.74 ","$9,738,626,509.93 ","$9,535,345,011.49 ","$10,693,321,370.04 ","$11,141,358,105.99 ","$12,517,845,127.68 ","$13,284,527,850.26 ","$11,388,160,997.11 ","$11,821,065,852.13 ","$12,701,655,845.96 ","$14,262,408,079.70 ","$14,391,686,309.03 ","$15,651,545,208.88 ","$17,690,083,519.93 ","$17,401,746,309.27 "
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,"$330,442,815.28 ","$350,247,234.80 ","$379,567,099.74 ","$394,040,667.60 ","$410,321,644.83 ","$422,916,789.39 ","$433,889,767.02 ","$450,753,923.93 ","$460,442,689.83 ","$478,298,644.75 ","$458,404,268.72 ","$482,411,179.67 ","$578,595,520.93 ","$674,773,569.72 ","$751,133,431.58 ","$939,972,701.97 ","$976,547,186.96 ","$1,131,224,880.18 ","$1,475,583,643.41 ","$1,748,480,618.37 ","$1,928,719,884.42 ","$1,775,842,336.51 ","$1,754,450,097.84 ","$1,600,278,605.15 ","$1,459,880,132.85 ","$1,552,493,197.28 ","$2,036,303,360.30 ","$2,369,834,946.57 ","$2,616,040,480.58 ","$2,615,587,729.97 ","$3,101,300,779.08 ","$3,135,045,586.21 ","$3,356,692,508.35 ","$3,199,536,459.58 ","$1,895,290,638.27 ","$2,379,517,975.75 ","$2,586,550,594.03 ","$2,447,669,100.47 ","$2,804,902,369.20 ","$3,389,566,710.90 ","$2,968,370,087.47 ","$3,190,371,079.81 ","$3,622,350,065.59 ","$4,740,768,141.27 ","$5,451,688,534.60 ","$6,146,353,177.43 ","$6,547,419,821.69 ","$7,625,722,829.18 ","$9,451,435,480.94 ","$9,450,696,866.48 ","$10,109,619,736.14 ","$12,080,295,984.77 ","$12,561,015,145.39 ","$13,444,300,489.86 ","$13,943,016,080.26 ","$11,832,159,315.98 ","$12,833,363,043.97 ","$14,106,955,625.36 ","$15,890,066,209.90 ","$16,178,161,666.13 ","$17,933,606,212.63 ","$19,737,616,003.02 ","$18,884,619,613.44 "
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,"$4,274,893,913.50 ","$4,817,580,183.60 ","$5,081,413,339.79 ","$5,319,458,351.16 ","$5,386,054,619.35 ","$5,906,636,557.00 ","$6,439,687,598.32 ","$7,253,575,399.32 ","$7,483,685,473.51 ","$8,471,006,100.95 ","$8,992,721,809.39 ","$8,751,842,839.80 ","$6,288,245,866.67 ","$8,086,725,729.34 ","$12,512,460,519.71 ","$19,448,348,073.46 ","$10,117,113,333.33 ","$9,651,149,301.87 ","$13,281,767,142.86 ","$15,565,480,321.94 ","$18,138,049,095.61 ","$20,249,694,002.45 ","$18,525,399,201.60 ","$17,609,048,821.55 ","$18,920,840,000.00 ","$22,278,423,076.92 ","$21,774,033,333.33 ","$24,298,032,258.06 ","$26,579,005,760.26 ","$28,781,714,763.89 ","$31,598,341,233.46 ","$30,957,483,949.58 ","$31,708,874,594.16 ","$33,166,519,417.99 ","$33,768,660,882.79 ","$37,939,748,768.66 ","$46,438,484,107.58 ","$48,244,309,133.49 ","$49,984,559,471.37 ","$51,270,569,883.53 ","$53,369,787,318.62 ","$53,991,289,844.33 ","$54,724,081,490.51 ","$60,158,929,188.26 ","$65,108,544,250.04 ","$69,442,943,089.43 ","$71,819,083,683.74 ","$79,611,888,213.15 ","$91,631,278,239.32 ","$102,477,779,060.30 ","$115,279,077,465.23 ","$128,637,983,882.83 ","$133,355,819,704.94 ","$149,990,529,207.54 ","$172,885,432,686.95 ","$195,078,574,089.07 ","$265,236,389,198.95 ","$293,754,769,935.15 ","$321,379,163,135.65 ","$351,238,397,263.80 ","$373,902,196,399.32 ","$416,264,802,185.17 ","$460,201,000,095.10 "
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"$19,839,230,769.23 ","$19,870,000,000.00 ","$19,342,000,000.00 ","$16,563,666,666.67 ","$17,594,944,444.44 ","$17,155,421,052.63 ","$20,249,294,117.65 ","$28,101,000,000.00 ","$22,555,941,176.47 ","$21,988,444,444.44 ","$20,632,090,909.09 ","$10,943,548,387.10 ","$10,350,515,463.92 ","$10,832,228,507.23 ","$9,697,416,974.17 ","$18,991,531,542.71 ","$12,294,987,876.31 ","$11,316,126,257.58 ","$15,031,052,200.55 ","$13,627,325,461.17 ","$13,245,990,274.46 ","$14,183,443,861.69 ","$16,403,043,849.83 ","$21,144,962,058.29 ","$26,157,744,752.78 ","$29,868,651,533.12 ","$34,380,543,845.40 ","$44,432,811,756.47 ","$54,480,697,770.08 ","$52,023,813,557.82 ","$50,754,203,890.73 ","$57,735,709,913.89 ","$54,290,156,342.38 ","$55,844,245,263.80 ","$57,159,557,804.65 ","$50,828,088,835.94 ","$53,987,487,124.34 ","$59,343,060,705.83 ","$66,399,602,077.17 ","$68,911,930,627.90 ","$70,404,359,049.23 ","$84,061,395,658.22 ","$89,040,398,406.37 "
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"$3,072,698,328.47 ","$3,467,819,158.16 ","$3,645,744,690.55 ","$3,735,106,392.91 ","$3,905,585,110.71 ","$3,651,861,702.13 ","$3,052,393,617.02 ","$3,392,021,010.64 ","$3,702,393,617.02 ","$3,863,563,829.79 ","$4,229,787,234.04 ","$4,616,223,404.26 ","$4,751,063,829.79 ","$5,200,266,107.28 ","$5,567,553,975.70 ","$5,849,468,272.90 ","$6,101,861,963.59 ","$6,349,202,984.63 ","$6,183,777,212.48 ","$6,621,010,739.20 ","$9,062,898,936.17 ","$8,976,196,808.51 ","$9,593,510,638.30 ","$11,074,813,829.79 ","$13,150,159,574.47 ","$15,968,723,404.26 ","$18,504,760,638.30 ","$21,730,000,000.00 ","$25,710,904,255.32 ","$22,938,218,085.11 ","$25,713,271,276.60 ","$28,776,595,744.68 ","$30,749,308,510.64 ","$32,539,468,085.11 ","$33,387,712,765.96 ","$31,050,638,297.87 ","$32,234,973,404.26 ","$35,473,776,595.74 ","$37,802,005,319.15 ","$38,653,318,085.11 ","$34,621,807,712.77 ","$39,303,403,989.36 ","$44,390,820,478.72 "
